idx,lines,batch_ms,speed_lps
31,32,12750,3
63,32,349,92
95,32,687,47
127,32,302,106
159,32,364,88
191,32,1763,18
223,32,1229,26
255,32,1355,24
287,32,877,37
319,32,675,47
351,32,1470,22
383,32,1306,25
415,32,952,34
447,32,1377,23
479,32,1235,26
511,32,932,34
543,32,1046,31
575,32,1915,17
607,32,954,34
639,32,1188,27
671,32,1104,29
703,32,1309,24
735,32,1633,20
767,32,1471,22
799,32,1239,26
831,32,1474,22
863,32,1322,24
895,32,1247,26
927,32,966,33
959,32,1842,17
991,32,1392,23
1023,32,1466,22
1055,32,1025,31
1087,32,1546,21
1119,32,1594,20
1151,32,1330,24
1183,32,1482,22
1215,32,1055,30
1247,32,1217,26
1279,32,1399,23
1311,32,1387,23
1343,32,1139,28
1375,32,1577,20
1407,32,1640,20
1439,32,2109,15
1471,32,2350,14
1503,32,1793,18
1535,32,1431,22
1567,32,1684,19
1599,32,1965,16
1631,32,1663,19
1663,32,1723,19
1695,32,1751,18
1727,32,2196,15
1759,32,2309,14
1791,32,2391,13
1823,32,1897,17
1855,32,996,32
1887,32,1632,20
1919,32,1356,24
1951,32,1017,31
1983,32,1019,31
1999,16,1271,13
2000,1,36,28
2032,32,4464,7
2064,32,2137,15
2096,32,958,33
2128,32,1107,29
2160,32,1041,31
2192,32,1580,20
2224,32,1005,32
2256,32,1859,17
2288,32,1189,27
2320,32,1431,22
2352,32,936,34
2384,32,1682,19
2416,32,811,39
2448,32,1472,22
2480,32,1325,24
2512,32,2063,16
2544,32,1805,18
2576,32,1144,28
2608,32,1670,19
2640,32,1203,27
2672,32,1477,22
2704,32,1611,20
2736,32,991,32
2768,32,1713,19
2800,32,1402,23
2832,32,1881,17
2864,32,1467,22
2896,32,2269,14
2928,32,1502,21
2960,32,5980,5
2992,32,1411,23
2999,7,262,27
3000,1,328,3
3032,32,5308,6
3064,32,3316,10
3096,32,2916,11
3128,32,2934,11
3160,32,2057,16
3192,32,2357,14
3224,32,2206,15
3256,32,1477,22
3288,32,1970,16
3320,32,2296,14
3352,32,1766,18
3384,32,2166,15
3416,32,1729,19
3448,32,1969,16
3480,32,1268,25
3512,32,1921,17
3544,32,2340,14
3576,32,1916,17
3608,32,769,42
3640,32,923,35
3672,32,728,44
3704,32,1143,28
3736,32,1048,31
3768,32,649,49
3800,32,1029,31
3832,32,1203,27
3864,32,729,44
3896,32,8795,4
3928,32,1346,24
3960,32,1354,24
3992,32,2639,12
3999,7,366,19
4000,1,762,1
4032,32,10111,3
4064,32,1774,18
4096,32,1649,19
4128,32,1624,20
4160,32,981,33
4192,32,981,33
4224,32,1023,31
4256,32,17304,2
4288,32,2337,14
4320,32,2099,15
4352,32,2321,14
4384,32,1286,25
4416,32,2152,15
4448,32,1827,18
4480,32,1205,27
4512,32,1654,19
4544,32,1332,24
4576,32,1675,19
4608,32,1049,31
4640,32,938,34
4672,32,1094,29
4704,32,1249,26
4736,32,903,35
4768,32,1572,20
4800,32,733,44
4832,32,1921,17
4864,32,1398,23
4896,32,1235,26
4928,32,1594,20
4960,32,1272,25
4992,32,1074,30
5024,32,1303,25
5056,32,1340,24
5088,32,1746,18
5120,32,1778,18
5152,32,1944,16
5184,32,1201,27
5216,32,1231,26
5248,32,1643,19
5280,32,2113,15
5312,32,2131,15
5344,32,1429,22
5376,32,1666,19
5408,32,1474,22
5440,32,1527,21
5472,32,1911,17
5504,32,1468,22
5536,32,1928,17
5568,32,1366,23
5600,32,1793,18
5632,32,2068,15
5664,32,2001,16
5696,32,1651,19
5728,32,8260,4
5760,32,1869,17
5792,32,1293,25
5824,32,2203,15
5856,32,2008,16
5888,32,2550,13
5920,32,1964,16
5952,32,1627,20
5984,32,1476,22
5999,15,937,16
6000,1,63,16
