[06:12:26] RESUME: +100000 steps (total 200000), batch=128, block=128
[06:15:14]   step 101000/200000 | loss=2.3407 | acc=0.329 | 3min
[06:18:02]   step 102000/200000 | loss=2.3830 | acc=0.313 | 6min
[06:20:51]   step 103000/200000 | loss=2.3843 | acc=0.312 | 8min
[06:23:40]   step 104000/200000 | loss=2.3549 | acc=0.319 | 11min
[06:26:29]   step 105000/200000 | loss=2.3998 | acc=0.309 | 14min
[06:29:17]   step 106000/200000 | loss=2.3818 | acc=0.315 | 17min
[06:32:05]   step 107000/200000 | loss=2.3674 | acc=0.320 | 20min
[06:34:54]   step 108000/200000 | loss=2.3700 | acc=0.319 | 22min
[06:37:42]   step 109000/200000 | loss=2.3958 | acc=0.318 | 25min
[06:40:30]   step 110000/200000 | loss=2.3725 | acc=0.318 | 28min
[06:43:19]   step 111000/200000 | loss=2.3871 | acc=0.325 | 31min
[06:46:07]   step 112000/200000 | loss=2.3758 | acc=0.313 | 34min
[06:48:55]   step 113000/200000 | loss=2.3370 | acc=0.324 | 36min
[06:51:43]   step 114000/200000 | loss=2.3351 | acc=0.334 | 39min
[06:54:31]   step 115000/200000 | loss=2.3451 | acc=0.328 | 42min
[06:57:20]   step 116000/200000 | loss=2.3806 | acc=0.320 | 45min
[07:00:08]   step 117000/200000 | loss=2.3407 | acc=0.321 | 48min
[07:02:56]   step 118000/200000 | loss=2.3709 | acc=0.316 | 51min
[07:05:45]   step 119000/200000 | loss=2.3416 | acc=0.325 | 53min
[07:08:33]   step 120000/200000 | loss=2.3912 | acc=0.316 | 56min
[07:11:22]   step 121000/200000 | loss=2.3470 | acc=0.320 | 59min
[07:14:10]   step 122000/200000 | loss=2.3568 | acc=0.322 | 62min
[07:17:00]   step 123000/200000 | loss=2.4020 | acc=0.319 | 65min
[07:19:48]   step 124000/200000 | loss=2.3643 | acc=0.324 | 67min
[07:22:37]   step 125000/200000 | loss=2.3278 | acc=0.324 | 70min
[07:25:25]   step 126000/200000 | loss=2.3369 | acc=0.331 | 73min
[07:28:14]   step 127000/200000 | loss=2.3381 | acc=0.318 | 76min
[07:31:02]   step 128000/200000 | loss=2.3472 | acc=0.322 | 79min
[07:33:48]   step 129000/200000 | loss=2.3377 | acc=0.330 | 81min
[07:36:36]   step 130000/200000 | loss=2.3951 | acc=0.317 | 84min
[07:39:23]   step 131000/200000 | loss=2.3870 | acc=0.319 | 87min
[07:42:11]   step 132000/200000 | loss=2.3711 | acc=0.322 | 90min
[07:44:59]   step 133000/200000 | loss=2.3509 | acc=0.323 | 93min
[07:47:46]   step 134000/200000 | loss=2.3585 | acc=0.321 | 95min
[07:50:34]   step 135000/200000 | loss=2.3442 | acc=0.328 | 98min
[07:53:21]   step 136000/200000 | loss=2.3608 | acc=0.316 | 101min
[07:56:08]   step 137000/200000 | loss=2.3340 | acc=0.329 | 104min
[07:58:56]   step 138000/200000 | loss=2.3526 | acc=0.326 | 107min
[08:01:43]   step 139000/200000 | loss=2.3705 | acc=0.323 | 109min
[08:04:31]   step 140000/200000 | loss=2.3922 | acc=0.316 | 112min
[08:07:18]   step 141000/200000 | loss=2.3521 | acc=0.325 | 115min
[08:10:06]   step 142000/200000 | loss=2.3510 | acc=0.323 | 118min
[08:12:53]   step 143000/200000 | loss=2.3625 | acc=0.315 | 120min
[08:15:41]   step 144000/200000 | loss=2.3384 | acc=0.316 | 123min
[08:18:29]   step 145000/200000 | loss=2.3306 | acc=0.333 | 126min
[08:21:17]   step 146000/200000 | loss=2.3549 | acc=0.319 | 129min
[08:24:04]   step 147000/200000 | loss=2.3620 | acc=0.312 | 132min
[08:26:52]   step 148000/200000 | loss=2.3100 | acc=0.332 | 134min
[08:29:40]   step 149000/200000 | loss=2.3403 | acc=0.329 | 137min
[08:32:28]   step 150000/200000 | loss=2.3683 | acc=0.321 | 140min
[08:35:15]   step 151000/200000 | loss=2.3299 | acc=0.333 | 143min
[08:38:03]   step 152000/200000 | loss=2.3232 | acc=0.332 | 146min
[08:40:50]   step 153000/200000 | loss=2.3443 | acc=0.327 | 148min
[08:43:38]   step 154000/200000 | loss=2.3227 | acc=0.332 | 151min
[08:46:25]   step 155000/200000 | loss=2.3577 | acc=0.324 | 154min
[08:49:13]   step 156000/200000 | loss=2.4072 | acc=0.316 | 157min
[08:52:00]   step 157000/200000 | loss=2.3282 | acc=0.326 | 160min
[08:54:49]   step 158000/200000 | loss=2.3212 | acc=0.330 | 162min
[08:57:36]   step 159000/200000 | loss=2.3342 | acc=0.327 | 165min
[09:00:25]   step 160000/200000 | loss=2.3898 | acc=0.317 | 168min
[09:03:13]   step 161000/200000 | loss=2.3621 | acc=0.328 | 171min
[09:06:01]   step 162000/200000 | loss=2.3693 | acc=0.326 | 174min
[09:08:48]   step 163000/200000 | loss=2.3588 | acc=0.326 | 176min
[09:11:36]   step 164000/200000 | loss=2.3544 | acc=0.320 | 179min
[09:14:23]   step 165000/200000 | loss=2.3716 | acc=0.314 | 182min
[09:17:11]   step 166000/200000 | loss=2.3287 | acc=0.328 | 185min
[09:19:59]   step 167000/200000 | loss=2.3301 | acc=0.331 | 188min
[09:22:47]   step 168000/200000 | loss=2.3708 | acc=0.317 | 190min
[09:25:34]   step 169000/200000 | loss=2.3735 | acc=0.328 | 193min
[09:28:22]   step 170000/200000 | loss=2.3097 | acc=0.329 | 196min
[09:31:10]   step 171000/200000 | loss=2.3288 | acc=0.324 | 199min
[09:33:57]   step 172000/200000 | loss=2.2942 | acc=0.331 | 202min
[09:36:45]   step 173000/200000 | loss=2.3356 | acc=0.328 | 204min
[09:39:33]   step 174000/200000 | loss=2.3541 | acc=0.321 | 207min
[09:42:20]   step 175000/200000 | loss=2.3495 | acc=0.324 | 210min
[09:45:08]   step 176000/200000 | loss=2.3357 | acc=0.331 | 213min
[09:47:55]   step 177000/200000 | loss=2.3240 | acc=0.335 | 215min
[09:50:43]   step 178000/200000 | loss=2.3515 | acc=0.324 | 218min
[09:53:30]   step 179000/200000 | loss=2.3460 | acc=0.328 | 221min
[09:56:18]   step 180000/200000 | loss=2.3162 | acc=0.330 | 224min
[09:59:05]   step 181000/200000 | loss=2.3136 | acc=0.340 | 227min
[10:01:53]   step 182000/200000 | loss=2.3774 | acc=0.320 | 229min
[10:04:40]   step 183000/200000 | loss=2.3040 | acc=0.338 | 232min
[10:07:28]   step 184000/200000 | loss=2.3409 | acc=0.331 | 235min
